Title,Author,PublishedDate,URL
"We write code, not documents",Dan Kim,"September 25, 2020",https://m.signalvnoise.com/we-write-code-not-documents/
"Demand Side Sales 101, a new book on sales by Bob Moesta.",Jason Fried,"September 22, 2020",https://m.signalvnoise.com/demand-side-sales-101-a-new-book-on-sales-by-bob-moesta/
"Options, Not Roadmaps",Ryan Singer,"September 11, 2020",https://m.signalvnoise.com/options-not-roadmaps/
Inside a CODE RED: Network Edition,Troy Toman,"September 4, 2020",https://m.signalvnoise.com/inside-a-code-red-network-edition/
Three Basecamp outages. One week. What happened?,Jeremy Daer,"September 2, 2020",https://m.signalvnoise.com/three-basecamp-outages-one-week-what-happened/
