Title,Author,PublishedDate,URL
New in Basecamp 3: Image Galleries,Jonas Downey,"July 31, 2018",https://m.signalvnoise.com/new-in-basecamp-3-image-galleries/
Managers: You’re not prepared for your one-on-one meetings. Here’s what to do.,Claire Lew,"July 26, 2018",https://m.signalvnoise.com/managers-youre-not-prepared-for-your-one-on-one-meetings-heres-what-to-do/
Take a Break,Wailin Wong,"July 24, 2018",https://m.signalvnoise.com/take-a-break/
Library Rules: How to make an open office plan work,Jason Fried,"July 23, 2018",https://m.signalvnoise.com/library-rules-how-to-make-an-open-office-plan-work/
"The open-plan office is a terrible, horrible, no good, very bad idea",DHH,"July 12, 2018",https://m.signalvnoise.com/the-open-plan-office-is-a-terrible-horrible-no-good-very-bad-idea/
Temperature Check,Wailin Wong,"July 10, 2018",https://m.signalvnoise.com/temperature-check/
The 4 questions you should stop asking during your one-on-one meetings,Claire Lew,"July 3, 2018",https://m.signalvnoise.com/the-4-questions-you-should-stop-asking-during-your-one-on-one-meetings/
Be a Lazy Designer…,Jamie Dihiansan,"July 3, 2018",https://m.signalvnoise.com/be-a-lazy-designer/
