Title,Author,PublishedDate,URL
New in Basecamp: Get Notified When Someone Adds a To-do,Scott Upton,"February 28, 2019",https://m.signalvnoise.com/new-in-basecamp-get-notified-when-someone-adds-a-to-do/
Remote Work: Extreme Edition,Wailin Wong,"February 26, 2019",https://m.signalvnoise.com/remote-work-extreme-edition/
The Anti-Mentor,Claire Lew,"February 25, 2019",https://m.signalvnoise.com/the-anti-mentor/
Protecting Basecamp from breached passwords,Jeremy Daer,"February 19, 2019",https://m.signalvnoise.com/protecting-basecamp-from-breached-passwords/
Permits of passion,DHH,"February 19, 2019",https://m.signalvnoise.com/permits-of-passion/
Finding a mentor,Jason Fried,"February 12, 2019",https://m.signalvnoise.com/finding-a-mentor/
The mindset shift of a manager,Claire Lew,"February 11, 2019",https://m.signalvnoise.com/the-managers-mindset-shift/
Basecamp turns 15,Jason Fried,"February 6, 2019",https://m.signalvnoise.com/basecamp-turns-15/
New in Basecamp: The “My Stuff” Menu,Scott Upton,"February 4, 2019",https://m.signalvnoise.com/new-in-basecamp-the-my-stuff-menu/
