Title,Author,PublishedDate,URL
Integrated systems for integrated programmers,DHH,"January 31, 2020",https://m.signalvnoise.com/integrated-systems-for-integrated-programmers/
Testimony before the House Antitrust Subcommittee,DHH,"January 17, 2020",https://m.signalvnoise.com/testimony-before-the-house-antitrust-subcommittee/
Basecamp is hiring a Programmer,Javan Makhmali,"January 17, 2020",https://m.signalvnoise.com/basecamp-is-hiring-a-front-end-programmer/
My polyglot Advent of Code,Rosa Gutiérrez,"January 14, 2020",https://m.signalvnoise.com/my-polyglot-advent-of-code/
"I went to see a movie, and instead I saw the future",Jason Fried,"January 12, 2020",https://m.signalvnoise.com/i-went-to-see-a-movie-and-instead-i-saw-the-future/
AWS S3: You’re out of order.,John Williams,"January 10, 2020",https://m.signalvnoise.com/aws-s3-youre-out-of-order/
The last tracker was just removed from Basecamp.com,DHH,"January 6, 2020",https://m.signalvnoise.com/the-last-tracker-was-just-removed-from-basecamp-com/
The Basecamp Guide to Internal Communication,Jason Fried,"January 3, 2020",https://m.signalvnoise.com/the-basecamp-guide-to-internal-communication/
