Title,Author,PublishedDate,URL
The worst part of hiring,DHH,"July 31, 2019",https://m.signalvnoise.com/the-worst-part-of-hiring/
Shape Up Roundtable,Wailin Wong,"July 30, 2019",https://m.signalvnoise.com/shape-up-roundtable/
How to onboard a new hire,Claire Lew,"July 29, 2019",https://m.signalvnoise.com/how-to-onboard-a-new-hire/
Shape Up with Ryan Singer,Wailin Wong,"July 23, 2019",https://m.signalvnoise.com/shape-up-with-ryan-singer/
What great managers do: Prune,Claire Lew,"July 22, 2019",https://m.signalvnoise.com/what-great-managers-do-prune/
Hire When It Hurts,Wailin Wong,"July 16, 2019",https://m.signalvnoise.com/hire-when-it-hurts/
Am I micromanaging my team?,Claire Lew,"July 15, 2019",https://m.signalvnoise.com/am-i-micromanaging-my-team/
Six Hours of Phone Calls,Wailin Wong,"July 11, 2019",https://m.signalvnoise.com/six-hours-of-phone-calls/
Leverage? No thank you.,Jason Fried,"July 10, 2019",https://m.signalvnoise.com/leverage-no-thank-you/
"Announcing “Shape Up”, a deep dive into how we work",Jason Fried,"July 10, 2019",https://m.signalvnoise.com/announcing-shape-up-a-deep-dive-into-how-we-work/
