Title,Author,PublishedDate,URL
The books I read in 2016,DHH,"December 30, 2016",https://m.signalvnoise.com/the-books-i-read-in-2016/
Moonlighting managers ain’t got no time for bullshit,DHH,"December 28, 2016",https://m.signalvnoise.com/moonlighting-managers-aint-got-no-time-for-bullshit/
Writing software is hard,DHH,"December 27, 2016",https://m.signalvnoise.com/writing-software-is-hard/
"80 hours now, 40 hours later?",Jason Fried,"December 27, 2016",https://m.signalvnoise.com/80-hours-now-40-hours-later/
The Managerial Entitlement Complex,Jason Fried,"December 21, 2016",https://m.signalvnoise.com/the-managerial-entitlement-complex/
A few tips to avoid the never ending comment thread,Dan Kim,"December 21, 2016",https://m.signalvnoise.com/a-few-tips-to-avoid-the-never-ending-comment-thread/
A question I ask new entrepreneurs,Jason Fried,"December 20, 2016",https://m.signalvnoise.com/a-question-i-ask-new-entrepreneurs/
We’re looking for a support programmer,Jim Mackenzie,"December 20, 2016",https://m.signalvnoise.com/were-looking-for-a-support-programmer/
Stories about Stayups,Jason Fried,"December 19, 2016",https://m.signalvnoise.com/stories-about-stayups/
Medium has been great for us,Jason Fried,"December 16, 2016",https://m.signalvnoise.com/medium-has-been-great-for-us/
