Title,Author,PublishedDate,URL
Why scrap scrappy?,Jason Fried,"November 27, 2018",https://m.signalvnoise.com/why-scrap-scrappy/
The AI apocalypse is already here,DHH,"November 27, 2018",https://m.signalvnoise.com/the-ai-apocalypse-is-already-here/
You probably won’t make it to the top,DHH,"November 22, 2018",https://m.signalvnoise.com/you-probably-wont-make-it-to-the-top/
The Worst Performance Review,Wailin Wong,"November 20, 2018",https://m.signalvnoise.com/the-worst-performance-review/
Dear Jeff,DHH,"November 13, 2018",https://m.signalvnoise.com/dear-jeff/
"Postmortem on the read-only outage of Basecamp on November 9th, 2018",DHH,"November 12, 2018",https://m.signalvnoise.com/postmortem-on-the-read-only-outage-of-basecamp-on-november-9th-2018/
Basecamp 3 for Android: The Latest and Greatest,Jamie Dihiansan,"November 9, 2018",https://m.signalvnoise.com/basecamp-3-for-android-the-latest-and-greatest/
"Update on Basecamp 3 being stuck in read-only as of Nov 8, 9:22am CST",DHH,"November 8, 2018",https://m.signalvnoise.com/update-on-basecamp-3-being-stuck-in-read-only-as-of-nov-8-922am-cst/
Our book launch was botched and it’s been crazy at work trying to fix it,DHH,"November 7, 2018",https://m.signalvnoise.com/our-book-launch-was-botched-and-its-been-crazy-at-work-trying-to-fix-it/
"Listener questions, answered",Wailin Wong,"November 6, 2018",https://m.signalvnoise.com/listener-questions-answered/
